"RNA_ID"	"SEX"	"ORIGIN"	"LAB"	"INDIVIDUAL"	"phase1TG"	"OUTRIDER_GROUP"	"PAIRED_END"	"COUNT_MODE"	"COUNT_OVERLAP"	"COUNT_AS_STRANDED"
"NA11894.2.M_111215_4"	"female"	"Utah"	"CNAG_CRG"	"NA11894"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA11918.1.M_111124_3"	"female"	"Utah"	"UNIGE"	"NA11918"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA11994.2.M_111216_7"	"male"	"Utah"	"CNAG_CRG"	"NA11994"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12155.4.M_120208_8"	"male"	"Utah"	"ICMB"	"NA12155"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12341.1.M_111124_5"	"female"	"Utah"	"UNIGE"	"NA12341"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12400.2.M_111216_2"	"female"	"Utah"	"CNAG_CRG"	"NA12400"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12413.2.M_111215_6"	"male"	"Utah"	"CNAG_CRG"	"NA12413"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12717.1.M_111124_3"	"female"	"Utah"	"UNIGE"	"NA12717"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12718.1.M_111124_7"	"female"	"Utah"	"UNIGE"	"NA12718"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12749.1.M_111124_2"	"female"	"Utah"	"UNIGE"	"NA12749"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12750.2.M_111216_2"	"male"	"Utah"	"CNAG_CRG"	"NA12750"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA12813.2.M_111216_6"	"female"	"Utah"	"CNAG_CRG"	"NA12813"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18499.1.M_111124_2"	"female"	"Yoruba"	"UNIGE"	"NA18499"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18508.1.M_111124_1"	"female"	"Yoruba"	"UNIGE"	"NA18508"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18520.1.M_111124_1"	"female"	"Yoruba"	"UNIGE"	"NA18520"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18858.2.M_111216_8"	"female"	"Yoruba"	"CNAG_CRG"	"NA18858"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18873.4.M_120208_7"	"female"	"Yoruba"	"ICMB"	"NA18873"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18916.2.M_111215_6"	"female"	"Yoruba"	"CNAG_CRG"	"NA18916"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA18917.1.M_111124_5"	"male"	"Yoruba"	"UNIGE"	"NA18917"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19092.1.M_111124_3"	"male"	"Yoruba"	"UNIGE"	"NA19092"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19096.4.M_120208_4"	"male"	"Yoruba"	"ICMB"	"NA19096"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19099.2.M_111215_7"	"female"	"Yoruba"	"CNAG_CRG"	"NA19099"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19102.1.M_111124_1"	"female"	"Yoruba"	"UNIGE"	"NA19102"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19116.2.M_111215_7"	"female"	"Yoruba"	"CNAG_CRG"	"NA19116"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19117.1.M_111124_4"	"male"	"Yoruba"	"UNIGE"	"NA19117"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19153.1.M_111124_7"	"male"	"Yoruba"	"UNIGE"	"NA19153"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19175.4.M_120208_8"	"male"	"Yoruba"	"ICMB"	"NA19175"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19190.4.M_120208_2"	"female"	"Yoruba"	"ICMB"	"NA19190"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19200.2.M_111216_1"	"male"	"Yoruba"	"CNAG_CRG"	"NA19200"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19210.4.M_120208_1"	"male"	"Yoruba"	"ICMB"	"NA19210"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19204.1.M_111124_6"	"female"	"Yoruba"	"UNIGE"	"NA19204"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19207.4.M_120208_5"	"male"	"Yoruba"	"ICMB"	"NA19207"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19222.2.M_111216_7"	"female"	"Yoruba"	"CNAG_CRG"	"NA19222"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19225.1.M_120209_2"	"female"	"Yoruba"	"UNIGE"	"NA19225"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19235.1.M_111124_6"	"female"	"Yoruba"	"UNIGE"	"NA19235"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA19236.4.M_120208_1"	"male"	"Yoruba"	"ICMB"	"NA19236"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20505.1.M_111124_6"	"female"	"Tuscan"	"UNIGE"	"NA20505"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20508.1.M_111124_2"	"female"	"Tuscan"	"UNIGE"	"NA20508"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20514.1.M_111124_4"	"female"	"Tuscan"	"UNIGE"	"NA20514"	0	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20525.1.M_111124_1"	"male"	"Tuscan"	"UNIGE"	"NA20525"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20528.2.M_120131_1"	"male"	"Tuscan"	"CNAG_CRG"	"NA20528"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20529.2.M_111215_6"	"female"	"Tuscan"	"CNAG_CRG"	"NA20529"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20530.2.M_111215_6"	"female"	"Tuscan"	"CNAG_CRG"	"NA20530"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20531.4.M_120208_1"	"female"	"Tuscan"	"ICMB"	"NA20531"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20539.4.M_120208_5"	"male"	"Tuscan"	"ICMB"	"NA20539"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
"NA20540.1.M_111124_2"	"female"	"Tuscan"	"UNIGE"	"NA20540"	1	"all"	TRUE	"IntersectionStrict"	TRUE	"no"
